#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Phaeotremella fagi","Eukaryota;Fungi;Basidiomycetes","JCM 13614","SAMD00028376","PRJDB3656","GCA_001599715.1","Scaffold",22.6499,42.4,,"BCHU01",30,0,"2016-03-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/715/GCA_001599715.1_JCM_13614_assembly_v001",
"Naganishia albida","Eukaryota;Fungi;Basidiomycetes","JCM 2334","SAMD00028377","PRJDB3657","GCA_001599735.1","Scaffold",20.6974,53.8,,"BCHV01",74,0,"2016-03-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/735/GCA_001599735.1_JCM_2334_assembly_v001",
"Gliomastix tumulicola","Eukaryota;Fungi;Ascomycetes","JCM 17184","SAMD00028379","PRJDB3659","GCA_001599755.1","Scaffold",42.3854,54.8,,"BCHX01",72,0,"2016-03-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/755/GCA_001599755.1_JCM_17184_assembly_v001",
"Exophiala alcalophila","Eukaryota;Fungi;Ascomycetes","JCM 1751","SAMD00028380","PRJDB3660","GCA_001599775.1","Scaffold",29.8536,54.1,,"BCHY01",12,0,"2016-03-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/775/GCA_001599775.1_JCM_1751_assembly_v001",
"Exophiala calicioides","Eukaryota;Fungi;Ascomycetes","JCM 6030","SAMD00028381","PRJDB3661","GCA_001599795.1","Scaffold",36.3667,52.8,,"BCHZ01",37,0,"2016-03-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/795/GCA_001599795.1_JCM_6030_assembly_v001",
"Acremonium furcatum","Eukaryota;Fungi;Ascomycetes","JCM 9210","SAMD00028382","PRJDB3662","GCA_001599815.1","Scaffold",40.3207,57.7,,"BCIA01",9,0,"2016-03-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/815/GCA_001599815.1_JCM_9210_assembly_v001",
"Thermoascus crustaceus","Eukaryota;Fungi;Ascomycetes","JCM 12817","SAMD00028384","PRJDB3664","GCA_001599835.1","Scaffold",31.6443,49.2,,"BCIC01",33,0,"2016-03-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/835/GCA_001599835.1_JCM_12817_assembly_v001",
"Aspergillus chevalieri","Eukaryota;Fungi;Ascomycetes","JCM 23047","SAMD00028386","PRJDB3666","GCA_001599875.1","Scaffold",28.0052,48,,"BCIE01",75,0,"2016-03-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/875/GCA_001599875.1_JCM_23047_assembly_v001",
"Priceomyces haplophilus","Eukaryota;Fungi;Ascomycetes","JCM 1635","SAMD00028387","PRJDB3667","GCA_001599895.1","Scaffold",10.5171,41,,"BCIF01",9,0,"2016-03-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/895/GCA_001599895.1_JCM_1635_assembly_v001",
"Symbiotaphrina buchneri","Eukaryota;Fungi;Ascomycetes","JCM 9740","SAMD00028388","PRJDB3668","GCA_001599915.1","Scaffold",23.7121,51.6,,"BCIG01",169,0,"2016-03-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/915/GCA_001599915.1_JCM_9740_assembly_v001",
"Holtermannia corniformis","Eukaryota;Fungi;Basidiomycetes","JCM 1743","SAMD00028391","PRJDB3671","GCA_001599935.1","Scaffold",20.7218,55.2,,"BCIJ01",129,0,"2016-03-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/935/GCA_001599935.1_JCM_1743_assembly_v001",
"Cystobasidium pallidum","Eukaryota;Fungi;Basidiomycetes","JCM 3780","SAMD00028393","PRJDB3673","GCA_001599955.1","Scaffold",21.7214,49.7,,"BCIL01",69,0,"2016-03-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/955/GCA_001599955.1_JCM_3780_assembly_v001",
"Cystobasidiopsis lactophilus","Eukaryota;Fungi;Basidiomycetes","JCM 7595","SAMD00028396","PRJDB3676","GCA_001599975.1","Scaffold",22.1806,56.2,,"BCIO01",19,0,"2016-03-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/975/GCA_001599975.1_JCM_7595_assembly_v001",
"Ambrosiozyma monospora","Eukaryota;Fungi;Ascomycetes","JCM 7599","SAMD00028397","PRJDB3677","GCA_001599995.1","Scaffold",24.9784,37.2,,"BCIP01",118,0,"2016-03-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/995/GCA_001599995.1_JCM_7599_assembly_v001",
"Solicoccozyma phenolicus","Eukaryota;Fungi;Basidiomycetes","JCM 11743","SAMD00028400","PRJDB3680","GCA_001600015.1","Scaffold",22.2635,54.9,,"BCIS01",71,0,"2016-03-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/015/GCA_001600015.1_JCM_11743_assembly_v001",
"Holtermanniella nyarrowii","Eukaryota;Fungi;Basidiomycetes","JCM 11471","SAMD00028401","PRJDB3681","GCA_001600035.1","Scaffold",17.7354,52.7,,"BCIT01",33,0,"2016-03-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/035/GCA_001600035.1_JCM_11471_assembly_v001",
"Filobasidium wieringae","Eukaryota;Fungi;Basidiomycetes","JCM 11695","SAMD00028403","PRJDB3683","GCA_001600055.1","Scaffold",19.7813,49.9,,"BCIV01",36,0,"2016-03-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/055/GCA_001600055.1_JCM_11695_assembly_v001",
"Bullera alba","Eukaryota;Fungi;Basidiomycetes","JCM 2954","SAMD00028405","PRJDB3685","GCA_001600095.1","Scaffold",19.4173,54.3,,"BCIX01",8,0,"2016-03-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/095/GCA_001600095.1_JCM_2954_assembly_v001",
"Erythrobasidium yunnanense","Eukaryota;Fungi;Basidiomycetes","JCM 10687","SAMD00028410","PRJDB3690","GCA_001600175.1","Scaffold",20.9305,51,,"BCJC01",11,0,"2016-03-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/175/GCA_001600175.1_JCM_10687_assembly_v001",
"Yarrowia keelungensis","Eukaryota;Fungi;Ascomycetes","JCM 14894","SAMD00028411","PRJDB3795","GCA_001600195.1","Scaffold",21.8244,48,,"BCJD01",41,0,"2016-03-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/195/GCA_001600195.1_JCM_14894_assembly_v001",
"Vanrija humicola","Eukaryota;Fungi;Basidiomycetes","JCM 1457","SAMD00028413","PRJDB3692","GCA_001600235.1","Scaffold",22.6538,62.7,,"BCJF01",10,0,"2016-03-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/235/GCA_001600235.1_JCM_1457_assembly_v001",
"Apiotrichum porosum","Eukaryota;Fungi;Basidiomycetes","JCM 1458","SAMD00028414","PRJDB3693","GCA_001600255.1","Scaffold",25.9893,59,,"BCJG01",37,0,"2016-03-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/255/GCA_001600255.1_JCM_1458_assembly_v001",
"Apiotrichum brassicae","Eukaryota;Fungi;Basidiomycetes","JCM 1599","SAMD00028416","PRJDB3695","GCA_001600295.1","Scaffold",23.6477,56.5,,"BCJI01",16,0,"2016-03-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/295/GCA_001600295.1_JCM_1599_assembly_v001",
"Apiotrichum gamsii","Eukaryota;Fungi;Basidiomycetes","JCM 9941","SAMD00028424","PRJDB3703","GCA_001600315.1","Scaffold",24.6094,61.1,,"BCJN01",29,0,"2016-03-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/315/GCA_001600315.1_JCM_9941_assembly_v001",
"Apiotrichum gracile","Eukaryota;Fungi;Basidiomycetes","JCM 10018","SAMD00028425","PRJDB3704","GCA_001600335.1","Scaffold",24.1149,59.2,,"BCJO01",17,0,"2016-03-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/335/GCA_001600335.1_JCM_10018_assembly_v001",
"Meira nashicola","Eukaryota;Fungi;Basidiomycetes","JCM 18503","SAMD00028432","PRJDB3711","GCA_001600355.1","Scaffold",18.0157,40,,"BCJU01",58,0,"2016-03-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/355/GCA_001600355.1_JCM_18503_assembly_v001",
"Wickerhamiella versatilis","Eukaryota;Fungi;Ascomycetes","JCM 5958","SAMD00028433","PRJDB3712","GCA_001600375.1","Scaffold",9.31303,44.8,,"BCJV01",19,0,"2016-03-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/375/GCA_001600375.1_JCM_5958_assembly_v001",
"Mrakia frigida","Eukaryota;Fungi;Basidiomycetes","JCM 7857","SAMD00028434","PRJDB3713","GCA_001600395.1","Scaffold",28.6163,54,,"BCJW01",149,0,"2016-03-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/395/GCA_001600395.1_JCM_7857_assembly_v001",
"Cutaneotrichosporon guehoae","Eukaryota;Fungi;Basidiomycetes","JCM 10690","SAMD00028435","PRJDB3714","GCA_001600415.1","Scaffold",33.6989,59.2,,"BCJX01",35,0,"2016-03-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/415/GCA_001600415.1_JCM_10690_assembly_v001",
"Endocalyx cinctus","Eukaryota;Fungi;Ascomycetes","JCM 7946","SAMD00028698","PRJDB3783","GCA_001600455.1","Scaffold",44.7739,45.4,,"BCKC01",17,0,"2016-03-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/455/GCA_001600455.1_JCM_7946_assembly_v001",
"Pilasporangium apinafurcum","Eukaryota;Protists;Other Protists","JCM 30514","SAMD00028700","PRJDB3797","GCA_001600495.1","Scaffold",37.4447,43.9,,"BCKE01",280,0,"2016-03-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/495/GCA_001600495.1_JCM_30514_assembly_v001",
"Yarrowia sp. JCM 30694","Eukaryota;Fungi;Ascomycetes","JCM 30694","SAMD00028701","PRJDB3798","GCA_001600515.1","Scaffold",21.7583,46,,"BCKF01",19,0,"2016-03-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/515/GCA_001600515.1_JCM_30694_assembly_v001",
"Yarrowia sp. JCM 30696","Eukaryota;Fungi;Ascomycetes","JCM 30696","SAMD00028702","PRJDB3799","GCA_001600535.1","Scaffold",21.7505,47.9,,"BCKG01",39,0,"2016-03-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/535/GCA_001600535.1_JCM_30696_assembly_v001",
"Albophoma yamanashiensis","Eukaryota;Fungi;Ascomycetes","JCM 11844","SAMD00028762","PRJDB3823","GCA_001600555.1","Scaffold",31.3906,56.7,,"BCKH01",66,0,"2016-03-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/555/GCA_001600555.1_JCM_11844_assembly_v001",
"Didymobotryum rigidum","Eukaryota;Fungi;Ascomycetes","JCM 8837","SAMD00028763","PRJDB3824","GCA_001600575.1","Scaffold",41.7297,54.7,,"BCKI01",31,0,"2016-03-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/575/GCA_001600575.1_JCM_8837_assembly_v001",
"Apiotrichum veenhuisii","Eukaryota;Fungi;Basidiomycetes","JCM 10691","SAMD00031909","PRJDB3717","GCA_001600595.1","Scaffold",31.6177,59.6,,"BCKJ01",35,0,"2016-03-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/595/GCA_001600595.1_JCM_10691_assembly_v001",
"Dioszegia crocea","Eukaryota;Fungi;Basidiomycetes","JCM 2961","SAMD00031910","PRJDB3718","GCA_001600615.1","Scaffold",20.5953,53.2,,"BCKK01",26,0,"2016-03-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/615/GCA_001600615.1_JCM_2961_assembly_v001",
"Leucosporidium creatinivorum","Eukaryota;Fungi;Basidiomycetes","JCM 10699","SAMD00031911","PRJDB3719","GCA_001600635.1","Scaffold",27.9692,58.7,,"BCKL01",122,0,"2016-03-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/635/GCA_001600635.1_JCM_10699_assembly_v001",
"Dioszegia aurantiaca","Eukaryota;Fungi;Basidiomycetes","JCM 2956","SAMD00031913","PRJDB3721","GCA_001600655.1","Scaffold",19.3441,53.6,,"BCKN01",52,0,"2016-03-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/655/GCA_001600655.1_JCM_2956_assembly_v001",
"Millerozyma acaciae","Eukaryota;Fungi;Ascomycetes","JCM 10732","SAMD00031914","PRJDB3722","GCA_001600675.1","Scaffold",11.0659,41.4,,"BCKO01",10,0,"2016-03-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/675/GCA_001600675.1_JCM_10732_assembly_v001",
"Ascoidea asiatica","Eukaryota;Fungi;Ascomycetes","JCM 7603","SAMD00031916","PRJDB3724","GCA_001600695.1","Scaffold",20.3137,24.8,,"BCKQ01",71,0,"2016-03-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/695/GCA_001600695.1_JCM_7603_assembly_v001",
"Apiotrichum laibachii","Eukaryota;Fungi;Basidiomycetes","JCM 2947","SAMD00031921","PRJDB3730","GCA_001600735.1","Scaffold",30.6166,59.6,,"BCKV01",26,0,"2016-03-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/735/GCA_001600735.1_JCM_2947_assembly_v001",
"Ogataea methanolica","Eukaryota;Fungi;Ascomycetes","JCM 10240","SAMD00036787","PRJDB3731","GCA_001600755.1","Scaffold",15.0864,36.2,,"BCKW01",32,0,"2016-03-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/755/GCA_001600755.1_JCM_10240_assembly_v001",
"Malassezia dermatis","Eukaryota;Fungi;Basidiomycetes","JCM 11348","SAMD00036788","PRJDB3732","GCA_001600775.1","Scaffold",7.55124,59,,"BCKX01",18,0,"2016-03-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/775/GCA_001600775.1_JCM_11348_assembly_v001",
"Malassezia japonica","Eukaryota;Fungi;Basidiomycetes","JCM 11963","SAMD00036789","PRJDB3733","GCA_001600795.1","Scaffold",8.36463,62.3,,"BCKY01",16,0,"2016-03-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/795/GCA_001600795.1_JCM_11963_assembly_v001",
"Alloascoidea hylecoeti","Eukaryota;Fungi;Ascomycetes","JCM 7604","SAMD00036790","PRJDB3734","GCA_001600815.1","Scaffold",24.8157,31.1,,"BCKZ01",136,0,"2016-03-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/815/GCA_001600815.1_JCM_7604_assembly_v001",
"Malassezia nana","Eukaryota;Fungi;Basidiomycetes","JCM 12085","SAMD00036791","PRJDB3735","GCA_001600835.1","Scaffold",7.57949,58,,"BCLA01",13,0,"2016-03-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/835/GCA_001600835.1_JCM_12085_assembly_v001",
"Cryptococcus sp. JCM 24511","Eukaryota;Fungi;Basidiomycetes","JCM 24511","SAMD00036793","PRJDB3825","GCA_001600855.1","Scaffold",28.1809,58.5,,"BCLC01",55,0,"2016-03-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/855/GCA_001600855.1_JCM_24511_assembly_v001",
"Solicoccozyma terricola","Eukaryota;Fungi;Basidiomycetes","JCM 24518","SAMD00036794","PRJDB3736","GCA_001600875.1","Scaffold",24.1179,49.4,,"BCLD01",79,0,"2016-03-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/875/GCA_001600875.1_JCM_24518_assembly_v001",
"Ferrisia virgata","Eukaryota;Animals;Insects","","SAMEA3699094","PRJEB12067","GCA_900060175.1","Scaffold",304.571,34.2,,"FIZR01",32723,0,"2016-03-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/060/175/GCA_900060175.1_FVIR",
"Paracoccus marginatus","Eukaryota;Animals;Insects","","SAMEA3699096","PRJEB12069","GCA_900065295.1","Scaffold",191.208,36.1,,"FIZT01",60102,0,"2016-03-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/065/295/GCA_900065295.1_PMAR",
"Pseudococcus longispinus","Eukaryota;Animals;Insects","","SAMEA3699095","PRJEB12068","GCA_900064475.1","Scaffold",284.99,33.7,,"FIZU01",66857,0,"2016-03-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/064/475/GCA_900064475.1_PLON",
"Trionymus perrisii","Eukaryota;Animals;Insects","","SAMEA3699109","PRJEB12071","GCA_900050545.1","Scaffold",237.583,31.5,,"FIZV01",80386,0,"2016-03-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/050/545/GCA_900050545.1_TPER",
"Zoysia japonica","Eukaryota;Plants;Land Plants","","SAMD00041943","PRJDB4210","GCA_001602275.1","Scaffold",334.384,42.6,,"BCLF01",11786,0,"2016-03-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/602/275/GCA_001602275.1_ASM160227v1",
"Zoysia matrella","Eukaryota;Plants;Land Plants","","SAMD00041944","PRJDB4210","GCA_001602295.1","Scaffold",563.439,43.3,,"BCLG01",13609,0,"2016-03-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/602/295/GCA_001602295.1_ASM160229v1",
"Zoysia pacifica","Eukaryota;Plants;Land Plants","","SAMD00041945","PRJDB4210","GCA_001602315.1","Scaffold",397.01,43.2,,"BCLH01",11428,0,"2016-03-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/602/315/GCA_001602315.1_ASM160231v1",
"Yarrowia sp. JCM 30695","Eukaryota;Fungi;Ascomycetes","JCM 30695","SAMD00031922","PRJDB3800","GCA_001602355.1","Scaffold",21.9003,47.8,,"BCLX01",41,0,"2016-03-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/602/355/GCA_001602355.1_JCM_30695_assembly_v001",
"Cajanus cajan","Eukaryota;Plants;Land Plants","","SAMN02981370","PRJNA376605","GCA_000340665.1"," Chromosome",592.971,33.7105,"chromosome 1:NC_033804.1/CM003603.1; chromosome 2:NC_033805.1/CM003604.1; chromosome 3:NC_033806.1/CM003605.1; chromosome 4:NC_033807.1/CM003606.1; chromosome 5:NC_033808.1/CM003607.1; chromosome 6:NC_033809.1/CM003608.1; chromosome 7:NC_033810.1/CM003609.1; chromosome 8:NC_033811.1/CM003610.1; chromosome 9:NC_033812.1/CM003611.1; chromosome 10:NC_033813.1/CM003612.1; chromosome 11:NC_033814.1/CM003613.1; chloroplast Pltd:NC_031429.1/KX672004.1","AGCT01",36536,38965,"2013-02-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/340/665/GCA_000340665.1_C.cajan_V1.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/340/665/GCF_000340665.1_C.cajan_V1.0"
"Lepidothrix coronata","Eukaryota;Animals;Birds","B3197","SAMN04274560","PRJNA338288","GCA_001604755.1","Scaffold",1079.58,41.9,,"LVWP01",4612,36671,"2016-03-31T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/604/755/GCA_001604755.1_Lepidothrix_coronata-1.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/604/755/GCF_001604755.1_Lepidothrix_coronata-1.0"
"Trachymyrmex zeteki","Eukaryota;Animals;Insects","Tzet28-1","SAMN03982884","PRJNA343251","GCA_001594055.1","Scaffold",267.973,34.9,,"LKFA01",4623,18778,"2016-03-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/594/055/GCA_001594055.1_Tzet1.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/594/055/GCF_001594055.1_Tzet1.0"
"Dendrobium officinale","Eukaryota;Plants;Land Plants","","SAMN03083363","PRJNA382192","GCA_001605985.1","Scaffold",1008.68,35.3003,"chloroplast Pltd:NC_024019.1/KC771275.1","JSDN01",72902,34527,"2016-02-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/605/985/GCA_001605985.1_ASM160598v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/605/985/GCF_001605985.1_ASM160598v1"
"Anguilla rostrata","Eukaryota;Animals;Fishes","LakeOntario-01-2011","SAMN03737505","PRJNA285069","GCA_001606085.1","Scaffold",1413.03,41,"mitochondrion MT:CM003870.1","LTYT01",79209,0,"2016-04-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/606/085/GCA_001606085.1_ASM160608v1",
"Capsaspora owczarzaki ATCC 30864","Eukaryota;Protists;Other Protists","ATCC 30864","SAMN02953747","PRJNA20341","GCA_000151315.2","Scaffold",27.9678,53.7,,"ACFS02",84,8792,"2009-08-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/151/315/GCA_000151315.2_C_owczarzaki_V2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/151/315/GCF_000151315.2_C_owczarzaki_V2"
"Ara macao","Eukaryota;Animals;Birds","","SAMN03000706","PRJNA189648","GCA_000400695.1","Scaffold",1204.7,42.5001,"mitochondrion MT:CM002021.1","AOUJ01",192790,0,"2013-05-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/400/695/GCA_000400695.1_SMACv1.1",
"Cebus capucinus imitator","Eukaryota;Animals;Mammals","Cc_AM_T3","SAMN04522148","PRJNA328123","GCA_001604975.1","Scaffold",2717.7,41,,"LVWQ01",7156,53175,"2016-03-31T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/604/975/GCA_001604975.1_Cebus_imitator-1.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/604/975/GCF_001604975.1_Cebus_imitator-1.0"
"Cutaneotrichosporon cutaneum","Eukaryota;Fungi;Basidiomycetes","ACCC 20271","SAMN04510874","PRJNA313001","GCA_001613755.1","Scaffold",30.7172,57.5,,"LTAL01",21,0,"2016-04-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/613/755/GCA_001613755.1_ASM161375v1",
"Plasmodium reichenowi","Eukaryota;Protists;Apicomplexans","SY57","SAMN04053640","PRJNA329100","GCA_001601855.1"," Chromosome",20.5017,19.8559,"chromosome 1:NC_033646.1/CM003842.1; chromosome 2:NC_033647.1/CM003843.1; chromosome 3:NC_033648.1/CM003844.1; chromosome 4:NC_033649.1/CM003845.1; chromosome 5:NC_033650.1/CM003846.1; chromosome 6:NC_033651.1/CM003847.1; chromosome 7:NC_033652.1/CM003848.1; chromosome 8:NC_033653.1/CM003849.1; chromosome 9:NC_033654.1/CM003850.1; chromosome 10:NC_033655.1/CM003851.1; chromosome 11:NC_033656.1/CM003852.1; chromosome 12:NC_033657.1/CM003853.1; chromosome 13:NC_033658.1/CM003854.1; chromosome 14:NC_033659.1/CM003855.1; apicoplast Pltd:NW_017962150.1/CM003883.1","LVLA01",777,5279,"2016-03-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/601/855/GCA_001601855.1_ASM160185v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/601/855/GCF_001601855.1_ASM160185v1"
"Plasmodium gaboni","Eukaryota;Protists;Apicomplexans","SY75","SAMN04053639","PRJNA329100","GCA_001602025.1"," Chromosome",20.3855,18.8583,"chromosome 1:NC_031481.1/CM003856.1; chromosome 2:NC_031482.1/CM003857.1; chromosome 3:NC_031483.1/CM003858.1; chromosome 4:NC_031484.1/CM003859.1; chromosome 5:NC_031485.1/CM003860.1; chromosome 6:NC_031486.1/CM003861.1; chromosome 7:NC_031487.1/CM003862.1; chromosome 8:NC_031488.1/CM003863.1; chromosome 9:NC_031489.1/CM003864.1; chromosome 10:NC_031490.1/CM003865.1; chromosome 11:NC_031491.1/CM003866.1; chromosome 12:NC_031492.1/CM003867.1; chromosome 13:NC_031493.1/CM003868.1; chromosome 14:NC_031494.1/CM003869.1; apicoplast Pltd:NW_017385168.1/CM003884.1","LVLB01",833,5354,"2016-03-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/602/025/GCA_001602025.1_ASM160202v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/602/025/GCF_001602025.1_ASM160202v1"
"Colletotrichum tofieldiae","Eukaryota;Fungi;Ascomycetes","CBS 127615","SAMN03769593","PRJNA286721","GCA_001618715.1","Scaffold",52.7196,52.9,,"LFHR01",791,0,"2016-04-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/618/715/GCA_001618715.1_Ct127615v1",
"Xylona heveae TC161","Eukaryota;Fungi;Ascomycetes","TC161","SAMN02744854","PRJNA200619","GCA_001619985.1","Scaffold",24.3378,48.1,,"JXCS01",27,8201,"2016-04-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/619/985/GCA_001619985.1_Xylona_heveae_TC161_v1.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/619/985/GCF_001619985.1_Xylona_heveae_TC161_v1.0"
"Scleropages formosus","Eukaryota;Animals;Fishes","","SAMN03894411","PRJNA347920","GCA_001624265.1","Scaffold",777.359,44,"mitochondrion MT:NC_007012.1/DQ023143.1","LGSG01",4819,41445,"2016-04-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/624/265/GCA_001624265.1_ASM162426v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/624/265/GCF_001624265.1_ASM162426v1"
"Xanthophyllomyces dendrorhous","Eukaryota;Fungi;Basidiomycetes","","SAMEA2690405","PRJEB6925","GCA_001007165.2","Scaffold",19.5195,47.3,,,266,6380,"2015-05-09T23:15:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/007/165/GCA_001007165.2_Xden1",
